# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
3.875,6.9,6.3,6.3,11.3
3.900,6.9,6.3,6.3,11.3
3.925,6.9,6.3,6.3,11.3
3.950,6.9,6.3,6.3,11.3
3.975,6.9,5.8,6.3,11.0
4.000,6.9,5.8,6.3,11.0
4.025,6.9,5.8,6.3,11.0
4.050,6.9,5.8,6.3,11.0
4.075,6.9,5.6,6.3,10.9
4.100,6.9,5.6,6.3,10.9
4.125,6.9,5.6,6.3,10.9
4.150,6.9,5.6,6.3,10.9
4.175,6.9,5.9,6.3,11.0
4.200,6.9,5.9,6.3,11.0
4.225,6.9,5.9,6.3,11.0
4.250,6.9,5.9,6.3,11.0
4.275,6.9,6.5,6.2,11.3
4.300,6.9,6.5,6.2,11.3
4.325,6.9,6.5,6.2,11.3
4.350,6.9,6.5,6.2,11.3
4.375,6.9,7.1,6.2,11.6
4.400,6.9,7.1,6.2,11.6
4.425,6.9,7.1,6.2,11.6
4.450,6.9,7.1,6.2,11.6
4.475,6.8,7.1,6.1,11.6
4.500,6.8,7.1,6.1,11.6
4.525,6.8,7.1,6.1,11.6
4.550,6.8,7.1,6.1,11.6
4.575,6.9,7.0,6.1,11.5
4.600,6.9,7.0,6.1,11.5
4.625,6.8,6.4,6.1,11.2
4.650,6.8,6.4,6.1,11.2
4.675,6.8,6.4,6.1,11.2
4.700,6.8,6.4,6.1,11.2
4.725,6.8,5.8,6.0,10.8
4.750,6.8,5.8,6.0,10.8
4.775,6.8,5.8,6.0,10.8
4.800,6.8,5.8,6.0,10.8
4.825,6.8,5.7,6.1,10.8
4.850,6.8,5.7,6.1,10.8
4.875,6.8,5.7,6.1,10.8
4.900,6.8,5.7,6.1,10.8
4.925,6.8,5.8,6.1,10.8
4.950,6.8,5.8,6.1,10.8
4.975,6.8,6.4,6.2,11.2
5.000,6.8,6.4,6.2,11.2
5.025,6.8,6.4,6.2,11.2
5.050,6.8,6.4,6.2,11.2
5.075,6.8,6.8,6.2,11.5
5.100,6.8,6.8,6.2,11.5
5.125,6.8,6.8,6.2,11.5
5.150,6.8,7.1,6.3,11.7
5.175,6.8,7.1,6.3,11.7
5.200,6.8,7.1,6.3,11.7
5.225,6.8,7.1,6.3,11.7
5.250,6.9,6.8,6.3,11.5
5.275,6.9,6.8,6.3,11.5
5.300,6.9,6.8,6.3,11.5
5.325,6.9,6.8,6.3,11.5
5.350,6.9,6.2,6.3,11.3
5.375,6.9,6.2,6.3,11.3
5.400,6.9,6.2,6.3,11.3
5.425,6.9,6.2,6.3,11.3
5.450,6.9,5.8,6.3,11.0
5.475,6.9,5.8,6.3,11.0
5.500,6.9,5.8,6.3,11.0
5.525,6.9,5.8,6.3,11.0
5.550,6.8,5.6,6.3,10.9
5.575,6.8,5.6,6.3,10.9
5.600,6.8,5.6,6.3,10.9
5.625,6.9,5.9,6.2,11.0
5.650,6.9,5.9,6.2,11.0
5.675,6.9,5.9,6.2,11.0
5.700,6.9,5.9,6.2,11.0
5.725,6.8,6.4,6.2,11.2
5.750,6.8,6.4,6.2,11.2
5.775,6.8,6.4,6.2,11.2
5.800,6.8,6.9,6.2,11.5
5.825,6.8,6.9,6.2,11.5
5.850,6.8,6.9,6.2,11.5
5.875,6.8,6.9,6.2,11.5
5.900,6.8,7.0,6.1,11.5
5.925,6.8,7.0,6.1,11.5
5.950,6.8,7.0,6.1,11.5
5.975,6.8,7.0,6.1,11.5
6.000,6.9,6.8,6.1,11.4
6.025,6.9,6.8,6.1,11.4
6.050,6.9,6.8,6.1,11.4
6.075,6.9,6.8,6.1,11.4
6.100,6.8,6.3,6.1,11.1
6.125,6.8,6.3,6.1,11.1
6.150,6.8,6.3,6.1,11.1
6.175,6.8,6.3,6.1,11.1
6.200,6.9,5.8,6.1,10.9
6.225,6.9,5.8,6.1,10.9
6.250,6.9,5.8,6.1,10.9
6.275,6.8,5.8,6.1,10.8
6.300,6.8,5.8,6.1,10.8
6.325,6.8,5.8,6.1,10.8
6.350,6.8,5.8,6.1,10.8
6.375,6.8,5.9,6.1,10.9
6.400,6.8,5.9,6.1,10.9
6.425,6.8,6.4,6.2,11.2
6.450,6.8,6.4,6.2,11.2
6.475,6.8,6.4,6.2,11.2
6.500,6.8,6.4,6.2,11.2
6.525,6.9,6.7,6.2,11.5
6.550,6.9,6.7,6.2,11.5
6.575,6.9,6.7,6.2,11.5
6.600,6.8,6.9,6.2,11.5
6.625,6.8,6.9,6.2,11.5
6.650,6.9,7.0,6.3,11.6
6.675,6.9,7.0,6.3,11.6
6.700,6.9,7.0,6.3,11.6
6.725,6.9,7.0,6.3,11.6
6.750,6.9,6.6,6.3,11.4
6.775,6.9,6.6,6.3,11.4
6.800,6.9,6.6,6.3,11.4
6.825,6.8,6.4,6.3,11.3
6.850,6.8,6.4,6.3,11.3
6.875,6.9,5.9,6.3,11.0
6.900,6.9,5.9,6.3,11.0
6.925,6.9,5.9,6.3,11.0
6.950,6.9,5.7,6.3,10.9
6.975,6.9,5.7,6.3,10.9
7.000,6.9,5.7,6.3,10.9
7.025,6.9,5.7,6.3,10.9
7.050,6.9,5.8,6.3,11.0
7.075,6.9,5.8,6.3,11.0
7.100,6.9,5.8,6.3,11.0
7.125,6.9,5.8,6.3,11.0
7.150,6.9,6.2,6.2,11.2
7.175,6.9,6.2,6.2,11.2
7.200,6.9,6.2,6.2,11.2
7.225,6.9,6.5,6.2,11.3
7.250,6.9,6.5,6.2,11.3
7.275,6.9,6.5,6.2,11.3
7.300,6.9,6.9,6.2,11.5
7.325,6.9,6.9,6.2,11.5
7.350,6.9,6.9,6.2,11.5
7.375,6.9,6.9,6.2,11.5
7.400,6.8,6.9,6.1,11.5
7.425,6.8,6.9,6.1,11.5
7.450,6.8,6.9,6.1,11.5
7.475,6.8,6.5,6.1,11.3
7.500,6.8,6.5,6.1,11.3
7.525,6.8,6.5,6.1,11.3
7.550,6.8,6.5,6.1,11.3
7.575,6.8,6.0,6.1,11.0
7.600,6.8,6.0,6.1,11.0
7.625,6.8,6.0,6.1,11.0
7.650,6.8,6.0,6.1,11.0
7.675,6.8,5.7,6.2,10.8
7.700,6.8,5.7,6.2,10.8
7.725,6.8,5.7,6.2,10.8
7.750,6.8,5.7,6.2,10.8
7.775,6.8,5.9,6.1,10.9
7.800,6.8,5.9,6.1,10.9
7.825,6.8,5.9,6.1,10.9
7.850,6.8,5.9,6.1,10.9
7.875,6.8,6.1,6.1,11.0
7.900,6.8,6.1,6.1,11.0
7.925,6.8,6.1,6.1,11.0
7.950,6.8,6.6,6.2,11.3
7.975,6.8,6.6,6.2,11.3
8.000,6.8,6.6,6.2,11.3
8.025,6.8,6.6,6.2,11.3
8.050,6.8,6.9,6.2,11.5
8.075,6.8,6.9,6.2,11.5
8.100,6.8,6.9,6.2,11.5
8.125,6.8,6.9,6.2,11.5
8.150,6.8,6.7,6.2,11.4
8.175,6.8,6.7,6.2,11.4
8.200,6.8,6.7,6.2,11.4
8.225,6.8,6.7,6.2,11.4
8.250,6.9,6.3,6.3,11.3
8.275,6.9,6.3,6.3,11.3
8.300,6.9,6.3,6.3,11.3
8.325,6.9,5.9,6.3,11.1
8.350,6.9,5.9,6.3,11.1
8.375,6.9,5.9,6.3,11.1
8.400,6.9,5.9,6.3,11.1
8.425,6.9,5.7,6.3,10.9
8.450,6.9,5.7,6.3,10.9
8.475,6.9,5.7,6.3,10.9
8.500,6.9,5.7,6.3,10.9
8.525,6.9,5.9,6.2,11.0
8.550,6.9,5.9,6.2,11.0
8.575,6.9,5.9,6.2,11.0
8.600,6.9,5.9,6.2,11.0
8.625,6.9,6.4,6.2,11.3
8.650,6.9,6.4,6.2,11.3
