# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
16.725,6.9,6.5,6.1,11.3
16.750,6.9,6.5,6.1,11.3
16.775,6.9,6.5,6.1,11.3
16.800,6.9,6.5,6.2,11.3
16.825,6.9,6.5,6.2,11.3
16.850,6.9,6.5,6.2,11.3
16.875,6.9,6.2,6.3,11.2
16.900,6.9,6.2,6.3,11.2
16.925,6.9,6.2,6.3,11.2
16.950,6.9,6.2,6.3,11.2
16.975,6.9,6.0,6.3,11.1
17.000,6.9,6.0,6.3,11.1
17.025,6.9,6.0,6.3,11.1
17.050,6.9,6.0,6.3,11.1
17.075,6.9,5.9,6.3,11.0
17.100,6.9,5.9,6.3,11.0
17.125,6.9,5.9,6.3,11.0
17.150,6.9,5.9,6.3,11.0
17.175,6.9,5.9,6.3,11.0
17.200,6.9,5.9,6.3,11.0
17.225,6.9,5.9,6.3,11.0
17.250,6.9,5.9,6.3,11.0
17.275,6.9,6.0,6.2,11.1
17.300,6.9,6.4,6.2,11.2
17.325,6.9,6.4,6.2,11.2
17.350,6.9,6.4,6.2,11.2
17.375,6.9,6.4,6.2,11.2
17.400,6.8,6.5,6.2,11.3
17.425,6.8,6.5,6.2,11.3
17.450,6.8,6.5,6.2,11.3
17.475,6.8,6.5,6.2,11.3
17.500,6.9,6.5,6.2,11.3
17.525,6.9,6.5,6.2,11.3
17.550,6.8,6.4,6.1,11.2
17.575,6.8,6.4,6.1,11.2
17.600,6.8,6.4,6.1,11.2
17.625,6.8,6.4,6.1,11.2
17.650,6.9,6.1,6.1,11.1
17.675,6.9,6.1,6.1,11.1
17.700,6.9,6.1,6.1,11.1
17.725,6.9,6.1,6.1,11.1
17.750,6.8,6.0,6.1,10.9
17.775,6.8,6.0,6.1,10.9
17.800,6.8,6.0,6.1,10.9
17.825,6.8,6.0,6.1,10.9
17.850,6.9,5.9,6.1,10.9
17.875,6.9,5.9,6.1,10.9
17.900,6.9,5.9,6.1,10.9
17.925,6.9,5.9,6.1,10.9
17.950,6.9,6.2,6.2,11.1
17.975,6.9,6.2,6.2,11.1
18.000,6.9,6.2,6.2,11.1
18.025,6.9,6.2,6.2,11.1
18.050,6.8,6.4,6.2,11.2
18.075,6.8,6.4,6.2,11.2
18.100,6.8,6.4,6.2,11.2
18.125,6.8,6.4,6.2,11.2
18.150,6.9,6.5,6.2,11.3
18.175,6.9,6.5,6.2,11.3
18.200,6.9,6.5,6.2,11.3
18.225,6.9,6.5,6.2,11.3
18.250,6.9,6.5,6.2,11.3
18.275,6.9,6.5,6.2,11.3
18.300,6.9,6.4,6.2,11.2
18.325,6.9,6.4,6.2,11.2
18.350,6.9,6.4,6.2,11.2
18.375,6.8,6.0,6.3,11.0
18.400,6.8,6.0,6.3,11.0
18.425,6.8,6.0,6.3,11.0
18.450,6.8,6.0,6.3,11.0
18.475,6.9,5.9,6.3,11.0
18.500,6.9,5.9,6.3,11.0
18.525,6.9,5.9,6.3,11.0
18.550,6.9,5.9,6.3,11.0
18.575,6.9,5.9,6.3,11.0
18.600,6.9,5.9,6.3,11.0
18.625,6.9,5.9,6.3,11.0
18.650,6.9,5.9,6.3,11.0
18.675,6.9,6.1,6.2,11.1
18.700,6.9,6.1,6.2,11.1
18.725,6.9,6.1,6.2,11.1
18.750,6.9,6.1,6.2,11.1
18.775,6.9,6.4,6.2,11.2
18.800,6.9,6.4,6.2,11.2
18.825,6.9,6.4,6.2,11.2
18.850,6.9,6.4,6.2,11.2
18.875,6.8,6.5,6.2,11.3
18.900,6.8,6.5,6.2,11.3
18.925,6.8,6.5,6.2,11.3
18.950,6.9,6.5,6.1,11.2
18.975,6.9,6.5,6.1,11.2
19.000,6.9,6.5,6.1,11.2
19.025,6.9,6.5,6.1,11.2
19.050,6.8,6.1,6.1,11.0
19.075,6.8,6.1,6.1,11.0
19.100,6.8,6.1,6.1,11.0
19.125,6.8,6.1,6.1,11.0
19.150,6.9,6.0,6.1,10.9
19.175,6.9,6.0,6.1,10.9
19.200,6.9,6.0,6.1,10.9
19.225,6.9,6.0,6.1,10.9
19.250,6.8,5.9,6.1,10.9
19.275,6.8,5.9,6.1,10.9
19.300,6.8,5.9,6.1,10.9
19.325,6.8,5.9,6.1,10.9
19.350,6.8,6.1,6.1,11.0
19.375,6.8,6.1,6.1,11.0
19.400,6.8,6.1,6.1,11.0
19.425,6.8,6.1,6.1,11.0
19.450,6.8,6.4,6.2,11.2
19.475,6.8,6.4,6.2,11.2
19.500,6.8,6.4,6.2,11.2
19.525,6.8,6.4,6.2,11.2
19.550,6.8,6.5,6.2,11.3
19.575,6.8,6.5,6.2,11.3
19.600,6.8,6.5,6.2,11.3
19.625,6.8,6.5,6.2,11.3
19.650,6.8,6.4,6.2,11.3
19.675,6.8,6.4,6.2,11.3
19.700,6.8,6.4,6.2,11.3
19.725,6.8,6.4,6.2,11.3
19.750,6.8,6.3,6.3,11.2
19.775,6.8,6.3,6.3,11.2
19.800,6.8,6.3,6.3,11.2
19.825,6.8,6.3,6.3,11.2
19.850,6.8,6.0,6.3,11.1
19.875,6.8,6.0,6.3,11.1
19.900,6.8,6.0,6.3,11.1
19.925,6.9,5.9,6.2,11.0
19.950,6.9,5.9,6.2,11.0
19.975,6.9,5.9,6.2,11.0
20.000,6.9,5.9,6.2,11.0
20.025,6.9,5.9,6.3,11.0
20.050,6.9,5.9,6.3,11.0
20.075,6.9,5.9,6.3,11.0
20.100,6.9,6.0,6.2,11.0
20.125,6.9,6.0,6.2,11.0
20.150,6.9,6.2,6.2,11.1
20.175,6.9,6.2,6.2,11.1
20.200,6.9,6.2,6.2,11.1
20.225,6.9,6.2,6.2,11.1
20.250,6.9,6.4,6.2,11.3
20.275,6.9,6.4,6.2,11.3
20.300,6.9,6.4,6.2,11.3
20.325,6.9,6.4,6.2,11.3
20.350,6.9,6.5,6.2,11.3
20.375,6.9,6.5,6.2,11.3
20.400,6.9,6.5,6.2,11.3
20.425,6.9,6.5,6.2,11.3
20.450,6.8,6.3,6.1,11.1
20.475,6.8,6.3,6.1,11.1
20.500,6.8,6.3,6.1,11.1
20.525,6.8,6.3,6.1,11.1
20.550,6.9,6.1,6.1,11.0
20.575,6.9,6.1,6.1,11.0
20.600,6.9,6.1,6.1,11.0
20.625,6.8,6.0,6.1,10.9
20.650,6.8,6.0,6.1,10.9
20.675,6.8,6.0,6.1,10.9
20.700,6.8,6.0,6.1,10.9
20.725,6.8,6.0,6.1,10.9
20.750,6.8,6.0,6.1,10.9
20.775,6.8,6.0,6.1,10.9
20.800,6.9,6.1,6.2,11.0
20.825,6.9,6.1,6.2,11.0
20.850,6.9,6.1,6.2,11.0
20.875,6.9,6.1,6.2,11.0
20.900,6.8,6.2,6.2,11.1
20.925,6.8,6.2,6.2,11.1
20.950,6.8,6.2,6.2,11.1
20.975,6.9,6.4,6.2,11.3
21.000,6.9,6.4,6.2,11.3
21.025,6.9,6.4,6.2,11.3
21.050,6.9,6.4,6.2,11.3
21.075,6.8,6.5,6.2,11.3
21.100,6.8,6.5,6.2,11.3
21.125,6.9,6.4,6.2,11.2
21.150,6.9,6.4,6.2,11.2
21.175,6.9,6.4,6.2,11.2
21.200,6.9,6.4,6.2,11.2
21.225,6.9,6.1,6.2,11.1
21.250,6.9,6.1,6.2,11.1
21.275,6.9,6.1,6.2,11.1
21.300,6.9,6.1,6.2,11.1
21.325,6.9,6.0,6.3,11.1
21.350,6.9,6.0,6.3,11.1
21.375,6.9,6.0,6.3,11.1
21.400,6.9,5.9,6.3,11.0
21.425,6.9,5.9,6.3,11.0
21.450,6.9,5.9,6.3,11.0
21.475,6.9,5.9,6.3,11.0
21.500,6.9,6.0,6.3,11.1
21.525,6.9,6.0,6.3,11.1
21.550,6.9,6.0,6.3,11.1
21.575,6.8,6.3,6.2,11.2
21.600,6.8,6.3,6.2,11.2
21.625,6.8,6.3,6.2,11.2
21.650,6.8,6.3,6.2,11.2
21.675,6.9,6.4,6.2,11.2
21.700,6.9,6.4,6.2,11.2
21.725,6.9,6.4,6.2,11.2
21.750,6.9,6.4,6.2,11.2
21.775,6.9,6.4,6.2,11.3
21.800,6.9,6.4,6.2,11.3
21.825,6.9,6.4,6.2,11.3
21.850,6.9,6.4,6.2,11.3
21.875,6.9,6.4,6.2,11.2
21.900,6.9,6.4,6.2,11.2
21.925,6.9,6.4,6.2,11.2
21.950,6.9,6.4,6.2,11.2
21.975,6.8,6.1,6.1,11.0
22.000,6.8,6.1,6.1,11.0
22.025,6.8,6.1,6.1,11.0
22.050,6.8,6.1,6.1,11.0
22.075,6.8,6.0,6.1,10.9
22.100,6.8,6.0,6.1,10.9
22.125,6.8,6.0,6.1,10.9
22.150,6.8,6.0,6.1,10.9
22.175,6.8,6.0,6.1,10.9
22.200,6.8,6.0,6.1,10.9
22.225,6.8,6.0,6.1,10.9
22.250,6.9,6.1,6.1,11.0
22.275,6.9,6.1,6.1,11.0
22.300,6.9,6.1,6.1,11.0
22.325,6.9,6.1,6.1,11.0
22.350,6.9,6.3,6.2,11.2
22.375,6.9,6.3,6.2,11.2
22.400,6.9,6.3,6.2,11.2
22.425,6.9,6.3,6.2,11.2
22.450,6.9,6.4,6.2,11.3
22.475,6.9,6.4,6.2,11.3
22.500,6.9,6.4,6.2,11.3
22.525,6.9,6.4,6.2,11.3
22.550,6.9,6.4,6.2,11.3
22.575,6.9,6.4,6.2,11.3
22.600,6.9,6.4,6.2,11.3
22.625,6.9,6.3,6.2,11.2
22.650,6.9,6.3,6.2,11.2
22.675,6.9,6.3,6.2,11.2
22.700,6.9,6.3,6.2,11.2
22.725,6.9,6.1,6.3,11.1
22.750,6.9,6.1,6.3,11.1
22.775,6.9,6.1,6.3,11.1
22.800,6.9,5.9,6.2,11.0
22.825,6.9,5.9,6.2,11.0
22.850,6.9,5.9,6.2,11.0
22.875,6.9,5.9,6.2,11.0
22.900,6.9,6.0,6.3,11.0
22.925,6.9,6.0,6.3,11.0
22.950,6.9,6.0,6.3,11.0
22.975,6.9,6.1,6.2,11.1
23.000,6.9,6.1,6.2,11.1
23.025,6.9,6.1,6.2,11.1
23.050,6.9,6.1,6.2,11.1
23.075,6.8,6.4,6.2,11.2
23.100,6.8,6.4,6.2,11.2
23.125,6.8,6.4,6.2,11.2
23.150,6.8,6.4,6.2,11.2
23.175,6.9,6.4,6.2,11.2
23.200,6.9,6.4,6.2,11.2
23.225,6.9,6.4,6.2,11.2
23.250,6.9,6.4,6.1,11.2
23.275,6.9,6.4,6.1,11.2
23.300,6.9,6.4,6.1,11.2
23.325,6.9,6.4,6.1,11.2
23.350,6.9,6.3,6.1,11.1
23.375,6.9,6.3,6.1,11.1
23.400,6.9,6.3,6.1,11.1
23.425,6.9,6.3,6.1,11.1
23.450,6.8,6.0,6.1,11.0
23.475,6.8,6.0,6.1,11.0
23.500,6.8,6.0,6.1,11.0
23.525,6.8,6.0,6.1,11.0
23.550,6.8,6.0,6.1,10.9
23.575,6.8,6.0,6.1,10.9
23.600,6.8,6.0,6.1,10.9
23.625,6.8,6.0,6.1,10.9
23.650,6.8,6.0,6.1,10.9
23.675,6.8,6.0,6.1,10.9
23.700,6.8,6.0,6.1,10.9
23.725,6.8,6.0,6.2,11.0
23.750,6.8,6.0,6.2,11.0
23.775,6.8,6.2,6.2,11.1
23.800,6.8,6.2,6.2,11.1
23.825,6.8,6.2,6.2,11.1
23.850,6.8,6.2,6.2,11.1
23.875,6.9,6.4,6.2,11.3
23.900,6.9,6.4,6.2,11.3
23.925,6.9,6.4,6.2,11.3
23.950,6.9,6.4,6.2,11.3
23.975,6.9,6.4,6.2,11.2
24.000,6.9,6.4,6.2,11.2
24.025,6.9,6.4,6.2,11.2
24.050,6.9,6.4,6.2,11.2
24.075,6.9,6.2,6.2,11.2
24.100,6.9,6.2,6.2,11.2
24.125,6.9,6.2,6.2,11.2
24.150,6.9,6.2,6.2,11.2
24.175,6.8,6.1,6.2,11.1
24.200,6.8,6.1,6.2,11.1
24.225,6.8,6.1,6.2,11.1
24.250,6.8,6.1,6.2,11.1
24.275,6.9,5.9,6.3,11.0
24.300,6.9,5.9,6.3,11.0
24.325,6.9,5.9,6.3,11.0
24.350,6.9,5.9,6.3,11.0
24.375,6.9,6.0,6.2,11.1
24.400,6.9,6.0,6.2,11.1
24.425,6.9,6.0,6.2,11.1
24.450,6.8,6.2,6.2,11.1
24.475,6.8,6.2,6.2,11.1
24.500,6.8,6.2,6.2,11.1
24.525,6.8,6.2,6.2,11.1
24.550,6.8,6.3,6.2,11.2
24.575,6.8,6.3,6.2,11.2
24.600,6.8,6.3,6.2,11.2
24.625,6.8,6.3,6.2,11.2
24.650,6.8,6.4,6.1,11.2
24.675,6.8,6.4,6.1,11.2
24.700,6.8,6.4,6.1,11.2
24.725,6.8,6.4,6.1,11.2
24.750,6.8,6.3,6.2,11.2
24.775,6.8,6.3,6.2,11.2
24.800,6.8,6.3,6.1,11.1
24.825,6.8,6.3,6.1,11.1
24.850,6.8,6.3,6.1,11.1
24.875,6.9,6.1,6.1,11.0
24.900,6.9,6.1,6.1,11.0
24.925,6.9,6.1,6.1,11.0
24.950,6.9,6.1,6.1,11.0
24.975,6.8,6.0,6.1,11.0
25.000,6.8,6.0,6.1,11.0
25.025,6.8,6.0,6.1,11.0
25.050,6.8,6.0,6.1,11.0
25.075,6.8,6.0,6.2,11.0
25.100,6.8,6.0,6.2,11.0
25.125,6.8,6.0,6.2,11.0
25.150,6.8,6.0,6.2,11.0
25.175,6.8,6.1,6.1,11.0
25.200,6.8,6.1,6.1,11.0
25.225,6.8,6.1,6.1,11.0
25.250,6.9,6.3,6.2,11.2
25.275,6.9,6.3,6.2,11.2
25.300,6.9,6.4,6.2,11.2
25.325,6.9,6.4,6.2,11.2
25.350,6.9,6.4,6.2,11.2
25.375,6.9,6.4,6.2,11.2
25.400,6.9,6.4,6.2,11.2
25.425,6.9,6.4,6.2,11.2
25.450,6.9,6.4,6.2,11.2
25.475,6.9,6.4,6.2,11.2
25.500,6.9,6.3,6.2,11.2
25.525,6.9,6.2,6.2,11.2
25.550,6.9,6.2,6.2,11.2
25.575,6.9,6.2,6.2,11.2
25.600,6.9,6.2,6.2,11.2
25.625,6.9,6.0,6.2,11.1
25.650,6.9,6.0,6.2,11.1
25.675,6.9,6.0,6.2,11.1
25.700,6.9,6.0,6.2,11.1
25.725,6.9,6.0,6.2,11.0
25.750,6.9,6.0,6.2,11.0
25.775,6.9,6.0,6.2,11.0
25.800,6.9,6.0,6.2,11.0
25.825,6.8,6.1,6.2,11.0
25.850,6.8,6.1,6.2,11.0
25.875,6.8,6.1,6.2,11.0
25.900,6.8,6.1,6.2,11.0
25.925,6.9,6.1,6.2,11.1
25.950,6.9,6.1,6.2,11.1
25.975,6.8,6.3,6.2,11.2
26.000,6.8,6.3,6.2,11.2
26.025,6.8,6.3,6.2,11.2
26.050,6.8,6.3,6.2,11.2
26.075,6.9,6.4,6.2,11.2
26.100,6.9,6.4,6.2,11.2
26.125,6.9,6.4,6.2,11.2
26.150,6.8,6.3,6.2,11.2
26.175,6.8,6.3,6.2,11.2
26.200,6.8,6.3,6.2,11.2
26.225,6.8,6.3,6.2,11.2
26.250,6.9,6.2,6.1,11.1
26.275,6.9,6.2,6.1,11.1
26.300,6.9,6.2,6.1,11.1
26.325,6.9,6.2,6.1,11.1
26.350,6.8,6.0,6.1,11.0
26.375,6.8,6.0,6.1,11.0
26.400,6.8,6.0,6.1,11.0
26.425,6.8,6.0,6.1,11.0
26.450,6.8,6.0,6.1,11.0
26.475,6.8,6.0,6.1,11.0
26.500,6.8,6.0,6.1,11.0
26.525,6.8,6.0,6.1,11.0
26.550,6.8,6.0,6.1,11.0
26.575,6.8,6.0,6.1,11.0
26.600,6.8,6.0,6.1,11.0
26.625,6.9,6.1,6.2,11.1
26.650,6.9,6.1,6.2,11.1
26.675,6.9,6.2,6.2,11.1
26.700,6.9,6.2,6.2,11.1
26.725,6.9,6.2,6.2,11.1
26.750,6.9,6.3,6.2,11.2
26.775,6.9,6.3,6.2,11.2
26.800,6.9,6.3,6.2,11.2
26.825,6.9,6.3,6.2,11.2
26.850,6.9,6.3,6.2,11.2
26.875,6.9,6.3,6.2,11.2
26.900,6.9,6.3,6.2,11.2
26.925,6.9,6.3,6.2,11.2
26.950,6.9,6.2,6.2,11.2
26.975,6.9,6.2,6.2,11.2
27.000,6.9,6.2,6.2,11.2
27.025,6.9,6.1,6.2,11.1
27.050,6.9,6.1,6.2,11.1
27.075,6.9,6.1,6.2,11.1
27.100,6.9,6.1,6.2,11.1
27.125,6.9,6.0,6.3,11.1
27.150,6.9,6.0,6.3,11.1
27.175,6.9,6.0,6.3,11.1
27.200,6.9,6.0,6.3,11.1
27.225,6.8,6.0,6.2,11.0
27.250,6.8,6.0,6.2,11.0
27.275,6.8,6.0,6.2,11.0
27.300,6.9,6.2,6.2,11.1
27.325,6.9,6.2,6.2,11.1
27.350,6.9,6.2,6.2,11.1
27.375,6.9,6.2,6.2,11.1
27.400,6.9,6.3,6.2,11.2
27.425,6.9,6.3,6.2,11.2
27.450,6.9,6.3,6.2,11.2
27.475,6.9,6.3,6.2,11.2
27.500,6.9,6.3,6.2,11.2
27.525,6.9,6.3,6.2,11.2
27.550,6.9,6.3,6.2,11.2
27.575,6.9,6.3,6.2,11.2
27.600,6.8,6.3,6.2,11.1
27.625,6.8,6.3,6.2,11.1
27.650,6.8,6.3,6.2,11.1
27.675,6.8,6.3,6.2,11.1
27.700,6.8,6.1,6.1,11.0
27.725,6.8,6.1,6.1,11.0
27.750,6.8,6.1,6.1,11.0
27.775,6.8,6.1,6.1,11.0
27.800,6.8,6.0,6.1,11.0
27.825,6.8,6.0,6.1,11.0
27.850,6.8,6.0,6.1,11.0
27.875,6.8,6.0,6.1,11.0
27.900,6.8,6.0,6.1,11.0
27.925,6.8,6.0,6.1,11.0
27.950,6.8,6.0,6.1,11.0
27.975,6.8,6.0,6.1,11.0
28.000,6.8,6.1,6.2,11.0
28.025,6.8,6.1,6.2,11.0
28.050,6.8,6.1,6.2,11.0
28.075,6.8,6.1,6.2,11.0
28.100,6.8,6.2,6.2,11.1
28.125,6.8,6.2,6.2,11.1
28.150,6.8,6.2,6.2,11.1
28.175,6.8,6.2,6.2,11.1
28.200,6.8,6.3,6.2,11.2
28.225,6.8,6.3,6.2,11.2
28.250,6.8,6.3,6.2,11.2
28.275,6.9,6.3,6.2,11.2
28.300,6.9,6.3,6.2,11.2
28.325,6.9,6.3,6.2,11.2
28.350,6.9,6.3,6.2,11.2
28.375,6.9,6.2,6.2,11.2
28.400,6.9,6.2,6.2,11.2
28.425,6.9,6.2,6.2,11.2
28.450,6.9,6.2,6.2,11.2
28.475,6.9,6.1,6.3,11.1
28.500,6.9,6.1,6.3,11.1
28.525,6.9,6.1,6.3,11.1
28.550,6.9,6.1,6.3,11.1
28.575,6.9,6.0,6.2,11.0
28.600,6.9,6.0,6.2,11.0
28.625,6.9,6.0,6.2,11.0
28.650,6.9,6.0,6.2,11.0
28.675,6.9,6.1,6.3,11.1
28.700,6.9,6.1,6.3,11.1
28.725,6.9,6.1,6.3,11.1
28.750,6.9,6.1,6.3,11.1
28.775,6.8,6.1,6.2,11.1
28.800,6.8,6.1,6.2,11.1
28.825,6.8,6.1,6.2,11.1
28.850,6.8,6.2,6.2,11.1
28.875,6.8,6.2,6.2,11.1
28.900,6.8,6.2,6.2,11.1
28.925,6.8,6.2,6.2,11.1
28.950,6.9,6.3,6.2,11.2
28.975,6.9,6.3,6.2,11.2
29.000,6.9,6.3,6.2,11.2
29.025,6.9,6.3,6.2,11.2
29.050,6.9,6.3,6.2,11.2
29.075,6.9,6.3,6.2,11.2
29.100,6.9,6.3,6.2,11.2
29.125,6.8,6.2,6.1,11.1
29.150,6.8,6.2,6.1,11.1
29.175,6.8,6.2,6.1,11.1
29.200,6.8,6.2,6.1,11.1
29.225,6.8,6.1,6.2,11.0
29.250,6.8,6.1,6.2,11.0
29.275,6.8,6.1,6.2,11.0
29.300,6.8,6.0,6.1,11.0
29.325,6.8,6.0,6.1,11.0
29.350,6.8,6.0,6.1,11.0
29.375,6.9,6.0,6.2,11.0
29.400,6.9,6.0,6.2,11.0
29.425,6.9,6.0,6.2,11.0
29.450,6.9,6.0,6.2,11.0
29.475,6.9,6.2,6.1,11.1
29.500,6.9,6.2,6.1,11.1
29.525,6.9,6.2,6.1,11.1
29.550,6.9,6.2,6.1,11.1
29.575,6.8,6.3,6.2,11.2
29.600,6.8,6.3,6.2,11.2
29.625,6.8,6.3,6.2,11.2
29.650,6.9,6.3,6.2,11.2
29.675,6.9,6.3,6.2,11.2
29.700,6.9,6.3,6.2,11.2
29.725,6.9,6.3,6.2,11.2
29.750,6.8,6.3,6.2,11.2
29.775,6.8,6.3,6.2,11.2
29.800,6.8,6.3,6.2,11.2
29.825,6.8,6.3,6.2,11.2
29.850,6.8,6.1,6.2,11.1
29.875,6.8,6.1,6.2,11.1
29.900,6.8,6.1,6.2,11.1
29.925,6.8,6.1,6.2,11.1
29.950,6.9,6.0,6.2,11.0
29.975,6.9,6.0,6.2,11.0
30.000,6.9,6.0,6.2,11.0
30.025,6.9,6.0,6.2,11.0
30.050,6.9,5.9,6.2,11.0
30.075,6.9,5.9,6.2,11.0
30.100,6.9,5.9,6.2,11.0
30.125,6.9,6.0,6.3,11.1
30.150,6.9,6.0,6.3,11.1
30.175,6.9,6.0,6.3,11.1
30.200,6.9,6.0,6.3,11.1
30.225,6.8,6.1,6.2,11.1
30.250,6.8,6.1,6.2,11.1
30.275,6.9,6.2,6.2,11.1
30.300,6.9,6.2,6.2,11.1
30.325,6.9,6.2,6.2,11.1
30.350,6.9,6.2,6.2,11.1
30.375,6.8,6.3,6.2,11.1
30.400,6.8,6.3,6.2,11.1
30.425,6.8,6.3,6.2,11.1
30.450,6.8,6.3,6.2,11.1
30.475,6.8,6.3,6.1,11.1
30.500,6.8,6.3,6.1,11.1
30.525,6.8,6.3,6.1,11.1
30.550,6.8,6.3,6.1,11.1
30.575,6.8,6.1,6.1,11.0
30.600,6.8,6.1,6.1,11.0
30.625,6.8,6.1,6.1,11.0
30.650,6.8,6.1,6.1,11.0
30.675,6.9,6.0,6.1,11.0
30.700,6.9,6.0,6.1,11.0
30.725,6.9,6.0,6.1,11.0
30.750,6.9,6.0,6.1,11.0
30.775,6.8,6.0,6.1,11.0
30.800,6.8,6.0,6.1,11.0
30.825,6.8,6.0,6.1,11.0
30.850,6.8,6.0,6.1,11.0
30.875,6.9,6.1,6.2,11.1
30.900,6.9,6.1,6.2,11.1
30.925,6.9,6.1,6.2,11.1
30.950,6.9,6.1,6.2,11.1
30.975,6.9,6.2,6.2,11.1
31.000,6.9,6.2,6.2,11.1
31.025,6.9,6.2,6.2,11.1
31.050,6.8,6.3,6.2,11.2
31.075,6.8,6.3,6.2,11.2
31.100,6.8,6.3,6.2,11.2
31.125,6.8,6.3,6.2,11.2
31.150,6.9,6.3,6.2,11.2
31.175,6.9,6.3,6.2,11.2
31.200,6.9,6.3,6.2,11.2
31.225,6.9,6.3,6.2,11.2
31.250,6.9,6.2,6.2,11.1
31.275,6.9,6.2,6.2,11.1
31.300,6.9,6.2,6.2,11.1
31.325,6.9,6.2,6.2,11.1
31.350,6.8,6.1,6.2,11.1
31.375,6.8,6.1,6.2,11.1
31.400,6.8,6.1,6.2,11.1
31.425,6.8,6.1,6.2,11.1
31.450,6.8,6.0,6.2,11.0
31.475,6.8,6.0,6.2,11.0
31.500,6.8,6.0,6.2,11.0
31.525,6.8,6.0,6.2,11.0
31.550,6.9,6.0,6.2,11.0
31.575,6.9,6.0,6.2,11.0
31.600,6.9,6.0,6.2,11.0
31.625,6.9,6.0,6.2,11.0
31.650,6.9,6.1,6.2,11.1
31.675,6.9,6.1,6.2,11.1
31.700,6.9,6.1,6.2,11.1
31.725,6.9,6.1,6.2,11.1
31.750,6.8,6.2,6.2,11.1
31.775,6.8,6.2,6.2,11.1
31.800,6.8,6.2,6.2,11.1
31.825,6.9,6.3,6.2,11.2
31.850,6.9,6.3,6.2,11.2
31.875,6.9,6.3,6.2,11.2
31.900,6.9,6.3,6.2,11.2
31.925,6.8,6.2,6.2,11.1
31.950,6.8,6.2,6.2,11.1
31.975,6.8,6.2,6.2,11.1
32.000,6.9,6.2,6.2,11.1
32.025,6.9,6.2,6.2,11.1
32.050,6.8,6.1,6.1,11.0
32.075,6.8,6.1,6.1,11.0
32.100,6.8,6.1,6.1,11.0
32.125,6.8,6.1,6.1,11.0
32.150,6.9,6.0,6.1,11.0
32.175,6.9,6.0,6.1,11.0
32.200,6.9,6.0,6.1,11.0
32.225,6.9,6.0,6.1,11.0
32.250,6.8,6.0,6.1,11.0
32.275,6.8,6.0,6.1,11.0
32.300,6.8,6.0,6.1,11.0
32.325,6.8,6.0,6.1,11.0
32.350,6.8,6.1,6.2,11.1
32.375,6.8,6.1,6.2,11.1
32.400,6.8,6.1,6.2,11.1
32.425,6.8,6.1,6.2,11.1
32.450,6.8,6.2,6.1,11.1
32.475,6.8,6.2,6.1,11.1
32.500,6.8,6.2,6.1,11.1
32.525,6.8,6.3,6.2,11.1
32.550,6.8,6.3,6.2,11.1
32.575,6.9,6.2,6.2,11.2
32.600,6.9,6.2,6.2,11.2
32.625,6.9,6.2,6.2,11.2
32.650,6.9,6.2,6.2,11.2
32.675,6.9,6.2,6.2,11.2
32.700,6.9,6.2,6.2,11.2
32.725,6.9,6.2,6.2,11.2
32.750,6.9,6.2,6.2,11.2
32.775,6.8,6.1,6.2,11.0
32.800,6.8,6.1,6.2,11.0
32.825,6.8,6.1,6.2,11.0
32.850,6.8,6.1,6.2,11.0
32.875,6.9,6.0,6.2,11.0
32.900,6.9,6.0,6.2,11.0
32.925,6.9,6.0,6.2,11.0
32.950,6.9,6.0,6.2,11.0
32.975,6.8,6.0,6.3,11.1
33.000,6.8,6.0,6.3,11.1
33.025,6.8,6.0,6.3,11.1
33.050,6.8,6.0,6.3,11.1
33.075,6.8,6.1,6.2,11.0
33.100,6.8,6.1,6.2,11.0
33.125,6.8,6.1,6.2,11.0
33.150,6.9,6.1,6.2,11.1
33.175,6.9,6.1,6.2,11.1
33.200,6.9,6.1,6.2,11.1
33.225,6.9,6.1,6.2,11.1
33.250,6.9,6.2,6.2,11.1
33.275,6.9,6.2,6.2,11.1
33.300,6.9,6.2,6.2,11.1
33.325,6.9,6.2,6.2,11.1
33.350,6.8,6.2,6.2,11.1
33.375,6.8,6.2,6.2,11.1
33.400,6.8,6.2,6.2,11.1
33.425,6.8,6.2,6.2,11.1
33.450,6.8,6.2,6.2,11.1
33.475,6.8,6.2,6.2,11.1
33.500,6.8,6.2,6.2,11.1
33.525,6.9,6.1,6.2,11.1
33.550,6.9,6.1,6.2,11.1
33.575,6.8,6.0,6.1,11.0
33.600,6.8,6.0,6.1,11.0
33.625,6.8,6.0,6.1,11.0
33.650,6.8,6.0,6.1,11.0
33.675,6.8,6.0,6.1,11.0
33.700,6.8,6.0,6.1,11.0
33.725,6.8,6.0,6.1,11.0
33.750,6.8,6.0,6.1,11.0
33.775,6.8,6.1,6.2,11.1
33.800,6.8,6.1,6.2,11.1
33.825,6.8,6.1,6.2,11.1
33.850,6.9,6.1,6.2,11.1
33.875,6.9,6.1,6.2,11.1
33.900,6.9,6.1,6.2,11.1
33.925,6.9,6.2,6.2,11.1
33.950,6.9,6.2,6.2,11.1
33.975,6.9,6.2,6.2,11.1
34.000,6.8,6.2,6.2,11.1
34.025,6.8,6.2,6.2,11.1
34.050,6.8,6.2,6.2,11.1
34.075,6.8,6.2,6.2,11.1
